,Bikename,Milege,Power in(PS),MinPrice,MaxPrice,Bikelinks,,
152,Kawasaki Ninja 650,NaN,68 PS,Rs.7.12 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/2020-ninja-650,,
153,Kawasaki Vulcan S,20.58 kmpl,61 PS,Rs.6.40 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/vulcan-s,,
154,Kawasaki Z650,19.02 kmpl,68 PS,Rs.6.43 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/2020-z650,,
155,Kawasaki W800 Street,NaN,52 PS,Rs.7.33 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/w800,,
156,Kawasaki Z H2,NaN,200 PS,Rs.22.79 Lakh,Rs. 26.95 Lakh*,https://www.bikedekho.com/kawasaki/zh2,,
157,Kawasaki Versys 1000,NaN,120 PS,Rs.12.19 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/versys-1000,,
158,Kawasaki KLX 450R,NaN,NaN,Rs.8.99 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/klx-450r,,
159,Kawasaki Z650RS,NaN,68 PS,Rs.6.92 Lakh,Rs. 6.99 Lakh*,https://www.bikedekho.com/kawasaki/z650rs,,
160,Kawasaki KX 450 2022,NaN,NaN,Rs.8.59 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/kx-450f,,
161,Kawasaki Versys 650,NaN,66 PS,Rs.7.36 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/versys-650,,
162,Kawasaki KLX 110,NaN,7.3 PS,Rs.2.100 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/klx-110,,
163,Kawasaki KX 100,NaN,NaN,Rs.4.88 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/kx-100,,
164,Kawasaki KX 250 2022,NaN,NaN,Rs.7.99 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/kx-250-f,,
165,Kawasaki KLX 140,NaN,NaN,Rs.4.07 Lakh*,Rs.NaN,https://www.bikedekho.com/kawasaki/klx-140-g,,
166,Benelli TRK 502,30.16 kmpl,47.5 PS,Rs.5.49 Lakh,Rs. 6.19 Lakh*,https://www.bikedekho.com/benelli/trk-502,,
167,Benelli Imperiale 400,33.49 kmpl,21 PS,Rs.2.25 Lakh,Rs. 2.30 Lakh*,https://www.bikedekho.com/benelli/imperiale-400,,
168,Benelli TRK 251,31.81 kmpl,25.8 PS,Rs.2.95 Lakh*,Rs.NaN,https://www.bikedekho.com/benelli/trk-251,,
169,Benelli 502 C,26.52 kmpl,47.5 PS,Rs.5.59 Lakh,Rs. 5.69 Lakh*,https://www.bikedekho.com/benelli/502-c,,
170,Benelli Leoncino 500,NaN,47.5 PS,Rs.5.35 Lakh,Rs. 5.45 Lakh*,https://www.bikedekho.com/benelli/leoncino,,
171,Triumph Street Triple,NaN,123 PS,Rs.9.15 Lakh,Rs. 11.70 Lakh*,https://www.bikedekho.com/triumph/street-triple,,
172,Triumph Trident 660,17.47 kmpl,81 PS,Rs.7.45 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/trident,,
173,Triumph Rocket 3,NaN,167 PS,Rs.19.90 Lakh,Rs. 21.40 Lakh*,https://www.bikedekho.com/triumph/rocket-3,,
174,Triumph Tiger 900,NaN,95.2 PS,Rs.13.70 Lakh,Rs. 15.50 Lakh*,https://www.bikedekho.com/triumph/tiger-900,,
175,Triumph Tiger Sport 660,NaN,81 PS,Rs.8.95 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/tiger-sport-660,,
176,Triumph Bonneville T120,21.27 kmpl,80 PS,Rs.11.09 Lakh,Rs. 11.89 Lakh*,https://www.bikedekho.com/triumph/bonneville,,
177,Triumph Tiger 850 Sport,NaN,85 PS,Rs.11.95 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/tiger-850,,
178,Triumph Speed Twin 900,NaN,65 PS,Rs.8.49 Lakh,Rs. 8.79 Lakh*,https://www.bikedekho.com/triumph/street-twin,,
179,Triumph Bonneville T100,NaN,65 PS,Rs.9.69 Lakh,Rs. 10.04 Lakh*,https://www.bikedekho.com/triumph/bonneville-t100,,
180,Triumph Bonneville Speedmaster,NaN,78 PS,Rs.12.05 Lakh,Rs. 12.85 Lakh*,https://www.bikedekho.com/triumph/speedmaster,,
181,Triumph Speed Triple 1200,NaN,180 PS,Rs.17.95 Lakh*,Rs.NaN,https://www.bikedekho.com/triumph/speed-triple-1200,,
182,Triumph Tiger 1200,NaN,150 PS,Rs.19.19 Lakh,Rs. 21.69 Lakh*,https://www.bikedekho.com/triumph/tiger-1200,,
183,Triumph Scrambler 900,NaN,7.6 PS,Rs.9.59 Lakh,Rs. 9.89 Lakh*,https://www.bikedekho.com/triumph/street-scrambler,,
184,Triumph Bonneville Bobber,NaN,78 PS,Rs.12.05 Lakh,Rs. 12.85 Lakh*,https://www.bikedekho.com/triumph/bonneville-bobber,,
